Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9361172566371682,0.9368195767264422,0.9361172566371682,0.9363486176181387
Decision Tree,0.9333517699115044,0.9376595912549922,0.9333517699115044,0.9347109535920954
SVM,0.6238938053097345,0.5172485287031207,0.6238938053097345,0.5309730170882112
KNN,0.9222898230088495,0.9228716174507972,0.9222898230088495,0.9220233608151693
Logistic Regression,0.8957411504424779,0.8517403509841616,0.8957411504424779,0.8690883867839817
Naive Bayes
